Strategy,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,% Time Invested
Momentum,0.0001,0.0036,1.3186,-0.3804,53.8681
Buy-and-Hold,0.0001,0.0050,1.1806,-0.4288,100.0000
