Strategy,Mean Return,Volatility,Sharpe Ratio,Max Drawdown,% Time Long,% Time Short
Momentum Long–Short,0.0000,0.0050,0.7135,-0.4854,53.8681,45.4552
Buy-and-Hold,0.0001,0.0050,1.1806,-0.4288,100.0000,0.0000
